Date,Open,High,Low,Close,Adj Close,Volume
2024-03-06,4.090000152587891,4.199999809265137,3.7899999618530273,3.869999885559082,3.869999885559082,401200
2024-03-07,3.9200000762939453,3.9200000762939453,3.690000057220459,3.8499999046325684,3.8499999046325684,297100
2024-03-08,3.890000104904175,3.930000066757202,3.640000104904175,3.680000066757202,3.680000066757202,168500
2024-03-11,3.7100000381469727,3.7249999046325684,3.5250000953674316,3.5999999046325684,3.5999999046325684,229700
2024-03-12,3.619999885559082,3.630000114440918,3.4200000762939453,3.4200000762939453,3.4200000762939453,267500
2024-03-13,3.430000066757202,3.5199999809265137,3.2699999809265137,3.430000066757202,3.430000066757202,594200
2024-03-14,3.430000066757202,3.4600000381469727,3.25,3.2899999618530273,3.2899999618530273,486700
2024-03-15,3.319999933242798,3.380000114440918,3.1700000762939453,3.200000047683716,3.200000047683716,1063400
2024-03-18,3.190000057220459,3.371000051498413,3.1600000858306885,3.3299999237060547,3.3299999237060547,655500
2024-03-19,3.75,4.170000076293945,3.549999952316284,3.9600000381469727,3.9600000381469727,1086400
